Country,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Canada,CAN,22339.861,24301.106,23860.724,24294.894,28337.814,32182.891,36428.387,40557.364,44714.784,46775.922,40934.5,47625.003,52271.536,52753.346,52726.053,50958.059,43615.795,42446.551,45223.971
Central African Republic,CAF,290.99,243.232,242.266,255.649,289.835,322.802,337.641,362.233,413.345,474.39,464.514,456.564,495.035,480.053,329.444,362.872,330.563,359.365,388.603
Chad,TCD,238.555,210.22,252.59,287.299,360.742,567.507,739.405,804.48,915.118,1072.769,933.675,1046.89,1162.474,1155.526,1180.371,1240.999,946.877,851.544,811.783
Chile,CHL,4952.689,5071.555,4572.852,4443.656,4770.309,6192.907,7600.083,9473.008,10507.889,10749.235,10219.734,12793.548,14610.753,15307.766,15804.358,14643.845,13571.968,13775.713,15127.763
China,CHN,872.226,958.566,1053.129,1150.227,1293.124,1512.635,1765.732,2110.563,2703.003,3467.03,3837.903,4524.055,5582.887,6329.464,7080.828,7701.691,8166.756,8115.828,8677.4
Colombia,COL,2588.918,2455.11,2383.312,2347.506,2240.207,2737.578,3384.606,3717.547,4684.011,5444.823,5170.526,6285.198,7264.109,7950.381,8103.486,7998.843,6088.678,5799.615,6325.486
Comoros,COM,421.218,374.641,399.109,446.955,564.642,615.437,641.618,651.581,732.773,816.981,802.234,793.273,866.916,823.779,884.68,898.648,742.284,759.684,784.741
Democratic Republic of the Congo,COD,410.453,397.025,165.273,165.757,159.636,172.83,187.188,216.815,240.339,272.142,252.439,275.665,318.049,346.375,398.627,425.406,441.581,439.01,449.242
Republic of Congo,COG,845.576,1126.961,954.134,1006.064,1138.187,1475.48,1886.102,2335.388,2192.48,2936.932,2624.081,3364.131,3950.862,3555.944,3561.155,3492.5,2067.086,1835.828,2068.231
Costa Rica,CRI,3703.132,3927.591,4029.576,4108.17,4213.892,4470.856,4743.154,5295.906,6187.386,7003.463,6897.244,8264.202,9260.859,10054.526,10632.948,10679.134,11422.598,11779.244,11810.183
Ivory Coast,CIV,787.07,664.259,676.153,726.988,878.415,925.951,931.407,945.846,1053.562,1222.774,1194.375,1193.214,1199.676,1220.329,1388.016,1528.191,1397.297,1450.918,1527.651
Croatia,HRV,5132.691,4970.211,5409.891,6241.222,8051.027,9354.099,10208.612,11348.389,13550.444,15892.036,14159.41,13550.438,14579.303,13249.445,13664.967,13610.802,11779.008,12367.801,13382.057
Cyprus,CYP,15379.994,14464.816,14904.894,16188.531,20389.337,23969.818,25527.252,27448.397,31774.607,36030.545,32635.742,31262.532,32692.864,29066.119,27825.717,27273.933,23248.193,24119.947,25954.833
Czech Republic,CZE,6304.157,5997.685,6599.308,8028.361,9777.814,11687.92,13362.343,15206.395,18434.536,22819.462,19787.766,19831.401,21736.836,19739.899,19912.51,19768.84,17728.702,18485.235,20409.984
Denmark,DNK,33492.354,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54665.215,57380.204
Djibouti,DJI,870.939,871.161,880.352,884.072,905.262,934.845,967.29,1020.629,1094.968,1235.838,1240.597,1306.536,1433.171,1522.945,1592.86,1690.668,1788.363,1902.754,1988.765
Dominica,DMA,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6975.991,7082.209,6868.992,7187.65,7466.584,7564.368,8220.134,7819.135
Dominican Republic,DOM,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6693.685,6903.42,7189.4,7482.487
Ecuador,ECU,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606
Egypt,EGY,1532.889,1642.629,1569.035,1356.683,1254.101,1195.373,1330.459,1563.479,1861.052,2270.356,2578.046,2921.757,3077.343,3383.113,3400.321,3524.418,3731.177,3686.07,2495.02
El Salvador,SLV,1935.54,2007.654,2078.263,2132.019,2218.407,2287.468,2437.48,2634.332,2790.006,2938.711,2860.537,2978.756,3251.084,3400.182,3466.381,3529.546,3628.058,3704.235,3787.329
Equatorial Guinea,GNQ,1250.993,1881.301,2614.2,3093.251,5419.704,8209.468,10806.146,12732.027,15761.84,22742.384,16530.21,17136.445,21451.886,21557.65,20246.992,19245.653,11213.474,9196.29,9692.34
Eritrea,ERI,208.742,182.647,188.674,177.498,205.687,254.742,245.357,263.273,278.986,284.696,373.464,415.537,500.094,573.163,643.774,710.245,779.326,860.273,979.692
Estonia,EST,4129.787,4084.362,4509.296,5325.038,7186.936,8859.481,10352.252,12613.018,16606.571,18162.457,14771.009,14672.328,17470.842,17431.54,19078.213,20267.044,17421.214,18235.584,20240.905
Eswatini,SWZ,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4568.746,4291.197,4090.959,3730.31,3515.192,4060.498
Ethiopia,ETH,128.213,129.678,125.722,116.789,120.873,138.553,165.218,198.344,249.209,334.145,397.808,360.829,379.381,493.321,535.264,613.101,702.767,777.294,817.49
Fiji,FJI,2444.91,2103.817,2056.937,2266.294,2824.116,3301.379,3608.577,3699.208,4034.938,4187.669,3395.695,3697.237,4422.608,4632.025,4863.456,5179.865,4995.77,5209.31,5527.537
