Country,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,COL,9928,14427,16627,18758,14720,18846,25566,43144,33187,30213,27849,22406,22635,20931,21131,18175,17316,18610,17956
Comoros,COM,,,,,,,6,7,7,,3,4,8,10,,9,5,4,4
Costa Rica,CRI,883,1310,1733,1591,1246,1755,2278,3109,2540,2090,2384,2164,2135,2020,2114,1966,2029,2224,2184
Cote d'Ivoire,,303,439,596,629,483,666,930,2067,1193,1645,2159,1621,1302,1760,1486,1477,1497,1617,1810
Croatia,HRV,580,1058,2853,3798,1153,1511,1780,945,482,455,496,357,349,336,353,297,348,388,375
Cuba,,14019,18960,27453,28182,9262,20488,36261,45614,29104,49500,38954,33573,36452,32820,32219,46679,54396,66516,65028
Curacao,,,,,,,,,,,,,,,,,27,22,35,34
Cyprus,CYP,106,160,216,158,123,143,196,180,137,141,142,122,101,107,126,129,113,131,117
Czech Republic,CZE,463,909,1170,1164,810,1130,1260,1786,1214,1089,1011,940,769,836,750,680,695,712,634
Democratic Republic of the Congo,COD,87,123,145,178,110,155,260,738,1129,1261,2122,1764,2424,3731,2792,4347,5345,6791,8709
Denmark,DNK,367,537,706,609,405,566,718,699,517,498,603,518,459,459,506,514,609,521,461
Djibouti,DJI,6,14,22,30,16,37,50,34,23,39,54,37,56,106,90,190,370,281,222
Dominica,DMA,40,95,93,148,204,132,198,471,428,454,484,366,287,125,244,345,229,298,510
Dominican Republic,DOM,17811,17465,21195,22515,26159,30506,27503,38068,28024,31879,49414,53870,46109,41566,41311,44577,50610,61161,58520
Ecuador,ECU,8882,7651,9665,10561,7066,8626,11608,17489,12248,11663,12128,11492,11103,9342,10591,10960,10187,10757,10594
Egypt,EGY,4421,4450,5159,4852,3348,5522,7905,10500,9267,8712,8844,8978,7778,8988,10294,11477,12085,12045,9834
El Salvador,SLV,14581,22543,31089,31060,28231,29807,21359,31782,21127,19659,19909,18806,18667,16256,18260,19273,19487,23449,25109
Equatorial Guinea,GNQ,,5,3,8,,13,10,13,4,16,32,12,13,20,18,15,25,18,20
Eritrea,ERI,325,382,540,560,556,675,796,1593,1081,1270,1928,1656,2102,2643,2138,2002,2220,2267,2449
Estonia,EST,142,239,348,343,235,322,438,423,368,287,282,260,191,227,211,220,189,211,176
Ethiopia,ETH,4262,4053,5092,7565,6635,8286,10571,16152,12786,12917,15462,14266,13793,14544,13097,12300,11394,13232,14637
Fiji,FJI,1599,1483,1452,1208,1095,1593,1422,2115,1637,1176,1194,1201,1041,853,895,802,875,866,805
Finland,FIN,307,377,497,426,241,388,574,542,426,302,423,397,363,348,331,350,407,489,439
France,FRA,2196,3442,4569,3797,2375,3595,4399,4258,3494,4935,4569,3919,3653,3862,4425,4284,4693,5159,4782
French Guiana,,5,13,8,6,4,,8,15,,,,,,,,,,,
French Polynesia,,9,13,16,12,14,13,19,37,27,26,30,16,21,30,,24,14,27,20
Gabon,GAB,4,18,32,41,40,50,66,85,95,82,171,138,204,197,127,167,146,165,150
Gambia,,183,231,390,343,263,422,581,897,826,739,978,859,972,1159,1018,1111,1142,1247,1134
Georgia,GEO,310,493,786,886,735,964,1389,2003,1554,1620,1578,1518,1490,1341,1368,1240,1410,1635,1629
Germany,DEU,5166,7565,9790,8888,5064,7099,9264,8436,7582,7091,7583,6888,6125,5812,6032,5584,5436,5306,4662
Ghana,GHA,3707,4339,4023,4248,4410,5337,6491,9367,7610,8195,8401,7429,8798,10592,10265,7115,6186,6949,8455
Greece,GRC,719,950,1155,1009,651,769,1070,1124,882,769,798,745,949,1054,1361,1235,1211,1451,1314
Grenada,GRD,661,655,645,634,481,609,840,1068,751,784,748,664,579,671,687,633,525,585,544
Guadeloupe,,54,51,84,38,35,59,48,53,,,,,,,,,,,
Guatemala,GTM,7294,9942,13496,16178,14386,18920,16818,24133,17908,16182,12187,10467,11092,10341,10224,10238,11773,13002,13198
Guinea,GIN,5,3,11,16,29,347,495,1110,1088,1735,1725,1379,1555,1656,1518,1375,1389,1501,1348
Guinea-Bissau,GNB,134,204,273,289,176,5,26,25,25,17,20,30,29,47,43,30,39,37,48
Guyana,GUY,3290,5719,8279,9938,6809,6351,9317,9552,5726,6823,6670,6749,6599,5683,5897,6267,5543,5771,5468
Haiti,HTI,16514,22337,27031,20213,12293,14191,14524,22226,30405,26007,24280,22582,22111,22818,20351,15274,16967,23584,21824
Honduras,HND,4793,5917,6571,6435,4645,5508,7012,8177,7646,6540,6404,6448,6133,6884,8898,8156,9274,13302,11387
Hong Kong SAR,HKG,4910,5407,8300,6075,3574,3951,3705,3256,3527,3373,2651,2432,2306,2104,2226,2278,2085,2510,2415
Hungary,HUN,694,1023,1263,1274,1021,1272,1567,1704,1266,1127,1314,1022,1044,1054,1052,996,1095,1048,972
Iceland,ISL,79,129,134,93,97,105,135,145,95,122,131,105,90,103,139,86,104,97,86
India,IND,30157,41903,70032,70823,50228,70151,84680,61369,65353,63352,57304,69162,69013,66434,68458,77908,64116,64687,60394
Indonesia,IDN,1186,1767,2525,2418,1805,2419,3924,4868,3716,3606,3679,3032,2856,2603,2731,2139,2084,2129,1914
Islamic Republic of Iran,IRN,7176,8487,10425,12960,7230,10434,13887,13947,10460,13852,18553,14182,14822,12916,12863,11615,13114,13298,13791
Iraq,IRQ,3360,5087,4965,5174,2450,3494,4077,4337,3765,4795,12110,19855,21133,20369,9552,19153,21107,18904,14203
Ireland,IRL,804,1296,1505,1398,983,1531,2088,1906,1503,1465,1637,1507,1371,1514,1626,1605,1607,1759,1485
Israel,ISR,1847,2783,3744,3826,2741,4160,5755,5943,4496,5851,5612,4515,3826,4153,3996,3805,3965,4142,3802
Italy,ITA,1512,2448,3096,2578,1644,2346,3066,3215,2569,2514,2892,2579,2443,2673,2960,3298,3544,4078,3655
Jamaica,JAM,14693,15949,15322,14835,13347,14430,18345,24976,19375,18477,21783,19825,19662,20705,19400,19026,17642,23350,21905
Japan,JPN,4202,7049,9578,8248,5971,7697,8768,8265,6748,6821,7690,6264,6161,6061,5925,5545,5395,5207,4635
Jordan,JOR,3269,3900,4572,3964,2927,3431,3748,4038,3917,3936,4282,3868,3876,4099,4188,5187,4664,5269,5264
Kazakhstan,KAZ,723,1493,2310,2315,1740,1906,2223,2073,1604,1630,1562,1282,1235,1202,1241,1221,1201,1310,1377
Kenya,KEN,1407,2197,2501,3199,3209,5335,5347,8779,7030,6998,9880,7421,7762,7043,6123,5884,5602,6274,6957
Kiribati,KIR,0,3,0,,4,,4,8,10,4,10,6,,6,,6,4,9,
Kosovo,UVK,,,,,,,,,,,,355,670,782,839,758,814,1020,1014
Kuwait,KWT,801,1015,1258,1056,707,1091,1152,1230,1017,1104,1124,1037,973,1044,937,1057,1055,1186,1177
Kyrgyz Republic,KGZ,189,388,582,473,356,439,656,785,597,632,574,507,542,648,652,707,790,847,715
