Year,"Sort
order","Major area, region, country or area of destination",0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2010,2010004,Least developed countries,"372,288","367,682","445,534","488,645","515,527","524,534","500,132","435,343","355,364","282,382","216,313","165,424","124,411","86,811","55,218","63,265","4,998,873"
2010,2010005,"Less developed regions, excluding least developed countries","1,958,150","1,883,892","1,837,291","2,140,757","3,684,842","5,346,993","5,812,764","5,460,352","4,285,695","3,439,666","2,656,554","1,978,526","1,490,594","1,091,783","829,559","1,340,857","45,238,587"
2010,2010006,High-income countries,"1,336,610","1,989,076","2,534,984","3,329,472","5,529,929","8,158,389","8,988,717","8,679,599","7,603,771","6,461,281","5,143,102","3,936,118","3,222,889","2,329,564","1,857,787","2,740,567","73,841,855"
2010,2010007,Middle-income countries,"1,420,521","1,394,793","1,495,101","1,996,593","2,992,623","3,533,536","3,542,506","3,395,317","3,093,271","2,872,001","2,533,954","2,141,504","1,719,460","1,266,788","962,971","1,435,308","35,796,247"
2010,2010008,Upper-middle-income countries,"675,435","710,953","780,703","1,175,671","1,905,062","2,252,808","2,130,540","1,966,931","1,736,790","1,579,702","1,417,586","1,196,586","968,383","667,078","508,194","771,355","20,443,777"
2010,2010009,Lower-middle-income countries,"745,086","683,840","714,398","820,922","1,087,561","1,280,728","1,411,966","1,428,386","1,356,481","1,292,299","1,116,368","944,918","751,077","599,710","454,777","663,953","15,352,470"
2010,2010010,Low-income countries,"278,629","276,984","322,371","339,903","358,139","370,312","364,436","324,736","277,880","225,067","176,823","137,155","104,760","67,265","40,537","50,832","3,715,829"
2010,2010011,Sub-Saharan Africa,"608,157","576,126","600,200","656,523","726,904","794,552","829,023","786,518","694,922","580,682","456,728","353,751","262,349","176,427","104,608","112,292","8,320,074"
2010,2010012,AFRICA,"653,033","616,383","641,120","708,230","797,698","885,675","924,376","880,844","777,172","649,196","509,798","391,757","288,639","191,138","114,062","121,762","9,151,195"
2010,2010013,Eastern Africa,"176,430","184,763","188,702","205,692","220,842","227,048","229,295","207,962","180,245","147,607","118,556","94,157","74,323","46,485","27,052","37,057","2,366,216"
2010,2010014,Burundi,"11,901","6,843","5,423","7,942","9,683","11,573","12,712","12,309","10,365","8,242","6,183","4,206","3,013","2,098","1,551","1,779","115,823"
2010,2010015,Comoros,189,192,282,373,467,583,639,661,625,564,469,356,275,177,113,95,"6,060"
2010,2010016,Djibouti,"2,766","3,685","4,456","5,074","5,744","5,621","5,629","4,880","4,174","3,283","2,586","2,059","1,614",767,384,573,"53,295"
2010,2010017,Eritrea,573,536,670,854,945,967,903,773,644,512,419,337,244,114,46,66,"8,603"
2010,2010018,Ethiopia,"16,605","21,243","25,956","29,980","33,006","31,962","29,668","25,250","21,310","17,215","14,091","11,546","10,017","4,844","1,938","2,903","297,534"
2010,2010019,Kenya,"53,460","58,425","51,239","45,450","43,591","39,911","35,280","31,563","25,190","20,260","15,649","13,507","10,186","7,103","4,020","4,509","459,343"
2010,2010020,Madagascar,608,643,678,672,696,881,"1,111","1,130","1,043","1,042","1,206","1,451","1,582","1,486","1,207",974,"16,410"
2010,2010021,Malawi,"6,938","6,664","6,438","6,406","8,653","10,479","10,810","9,872","8,336","6,619","5,268","4,399","3,058","2,575","1,836","5,518","103,869"
2010,2010022,Mauritius,292,373,437,522,665,839,"1,790","2,206","1,995","1,313",902,622,467,324,214,227,"13,188"
2010,2010023,Mayotte,"1,769","1,947","2,110","2,575","3,309","4,032","4,313","4,010","3,300","2,302","1,416","1,126","1,033",715,281,262,"34,500"
2010,2010024,Mozambique,"15,350","11,054","7,913","6,127","6,073","9,702","14,601","8,275","6,282","5,185","4,006","3,121","2,573","1,758","1,233","1,423","104,676"
2010,2010025,Réunion,"2,133","4,979","6,360","6,387","4,517","5,101","5,848","5,954","5,356","4,549","4,095","2,783","1,762","1,152",729,"1,002","62,707"
2010,2010026,Rwanda,"7,401","10,269","16,945","30,853","33,116","28,008","24,351","19,796","15,435","11,138","7,239","4,823","4,348","2,033","1,429","1,241","218,425"
2010,2010027,Seychelles,162,200,150,208,793,"1,200","1,281","1,218",927,680,433,214,127,89,66,56,"7,804"
2010,2010028,Somalia,"1,465","1,329",903,822,845,"1,053","1,231","1,276","1,193",979,762,495,325,112,64,60,"12,914"
2010,2010029,South Sudan,"11,565","12,791","12,975","13,996","13,014","11,913","9,779","8,907","7,982","6,694","6,544","5,560","4,627","2,911","1,682","1,753","132,693"
2010,2010030,Uganda,"22,400","20,676","19,670","18,775","20,011","21,020","21,802","21,986","20,657","18,857","16,068","13,770","10,503","7,185","3,300","4,966","261,646"
2010,2010031,United Republic of Tanzania,"11,672","9,820","9,033","9,050","10,387","12,109","13,210","13,954","13,588","12,225","9,776","7,568","6,080","5,238","4,423","5,851","153,984"
2010,2010032,Zambia,"3,429","4,754","6,466","6,894","7,488","7,818","7,553","6,677","5,671","4,747","3,996","3,429","2,530","1,895",972,"1,456","75,775"
