Year,"Sort
order","Major area, region, country or area of destination",0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2015,2015147,Estonia,"1,201",915,734,"1,121","4,214","5,462","6,710","7,886","9,104","11,918","19,074","24,627","24,256","20,519","15,908","41,015","194,664"
2015,2015148,Faeroe Islands,269,524,545,704,347,296,311,383,433,396,392,274,199,187,135,122,"5,517"
2015,2015149,Finland,"4,887","11,570","13,466","14,031","23,276","40,476","45,407","39,250","33,994","26,592","20,975","15,165","10,232","6,074","3,366","6,095","314,856"
2015,2015150,Iceland,"1,081","1,871","2,117","2,478","4,031","5,085","5,273","4,451","3,498","2,724","2,198","1,674",983,594,380,634,"39,072"
2015,2015151,Ireland,"25,997","27,742","41,164","44,997","47,603","81,820","97,141","97,068","79,812","59,238","37,513","30,570","25,308","19,215","13,385","21,370","749,943"
2015,2015152,Isle of Man,469,929,"1,111","1,617","2,848","4,292","4,618","4,230","3,896","3,668","3,292","3,166","2,611","2,392","1,909","4,173","45,221"
2015,2015153,Latvia,"3,471","1,629",936,"1,021","2,133","3,995","6,074","7,352","10,310","17,101","27,272","34,191","33,592","29,743","25,484","61,114","265,418"
2015,2015154,Lithuania,"8,420","1,568","1,288",922,"1,668","2,990","4,175","4,799","6,240","9,804","15,657","20,769","15,546","10,863","8,916","22,396","136,021"
2015,2015155,Norway,"13,793","27,512","30,697","35,658","52,554","90,929","105,505","93,149","78,662","64,902","51,487","36,113","23,898","16,757","10,716","14,043","746,375"
2015,2015156,Sweden,"19,032","45,446","58,086","73,445","95,397","150,532","173,198","157,159","142,199","134,666","124,507","104,920","89,173","77,753","57,628","99,381","1,602,522"
2015,2015157,United Kingdom,"113,670","233,665","279,607","356,903","603,942","934,723","1,132,369","1,042,135","829,070","639,891","545,581","455,033","326,255","255,018","232,473","430,686","8,411,021"
2015,2015158,Southern Europe,"128,609","263,204","472,150","738,761","994,676","1,406,827","1,777,041","1,988,366","1,940,415","1,687,708","1,319,056","984,131","705,643","501,558","381,908","539,643","15,830,496"
2015,2015159,Albania,"9,525","7,094","6,667","5,412","4,411","4,779","2,778","2,233","1,550","1,318","1,075","1,060",857,723,"1,044","1,505","52,031"
2015,2015160,Andorra,624,620,961,"1,105","1,189","2,245","3,891","4,828","4,840","4,708","4,485","3,560","2,608","2,085","1,412","2,921","42,082"
2015,2015161,Bosnia and Herzegovina,"1,915","1,870","1,702","1,809","2,639","3,722","4,044","4,028","3,783","3,167","2,539","2,055","1,702","1,411","1,180","1,008","38,574"
2015,2015162,Croatia,"2,584","5,581","10,522","18,812","28,633","32,851","38,456","49,033","51,365","56,979","57,833","53,474","45,145","35,425","39,033","50,012","575,738"
2015,2015163,Gibraltar,867,728,661,570,840,"1,125","1,261","1,156","1,020",817,681,539,377,188,93,142,"11,065"
2015,2015164,Greece,"14,563","14,180","24,243","42,148","75,208","115,712","140,245","154,213","167,373","138,037","104,914","80,865","59,282","39,035","25,042","47,864","1,242,924"
2015,2015165,Holy See,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,803
2015,2015166,Italy,"40,652","99,432","174,255","279,033","380,720","574,587","704,801","769,734","741,779","657,851","500,861","344,040","209,626","122,728","80,231","124,995","5,805,325"
2015,2015167,Malta,535,"1,058",975,"1,641","3,487","4,956","5,027","4,513","4,294","4,055","2,816","2,243","1,817","1,933","1,360","1,720","42,430"
2015,2015168,Montenegro,"1,289","2,007","2,104","3,171","5,532","7,298","7,733","7,997","7,126","6,502","6,196","6,224","6,034","5,330","2,633","5,365","82,541"
2015,2015169,Portugal,"7,212","11,433","20,003","41,776","61,883","68,470","86,864","109,051","136,794","99,544","68,190","52,429","36,174","23,495","16,497","24,999","864,814"
2015,2015170,San Marino,161,160,211,298,450,585,712,721,641,486,316,180,81,65,40,67,"5,174"
2015,2015171,Serbia,"4,029","5,189","7,370","13,990","28,626","41,504","49,299","58,520","63,196","66,731","76,346","86,825","86,541","68,488","63,940","86,847","807,441"
2015,2015172,Slovenia,"1,944","3,845","4,735","5,794","7,911","14,517","18,498","19,863","20,217","22,656","27,752","28,005","22,392","13,467","10,354","15,666","237,616"
2015,2015173,Spain,"36,957","104,414","212,775","319,296","390,002","530,828","708,164","795,576","728,043","614,752","453,433","309,910","219,435","173,602","126,998","167,023","5,891,208"
2015,2015174,TFYR Macedonia,"5,752","5,593","4,966","3,906","3,145","3,648","5,268","6,900","8,394","10,105","11,619","12,722","13,572","13,583","12,051","9,506","130,730"
2015,2015175,Western Europe,"306,928","503,236","574,892","768,201","1,409,493","2,164,031","2,477,302","2,527,718","2,503,100","2,392,628","2,263,440","1,972,261","1,688,342","1,376,605","1,012,725","1,660,778","25,601,680"
2015,2015176,Austria,"16,967","28,765","38,102","54,222","100,753","151,925","156,862","148,078","145,611","144,875","121,195","96,400","83,881","63,546","57,310","83,882","1,492,374"
2015,2015177,Belgium,"74,180","60,994","53,997","56,313","88,572","127,941","137,269","124,681","114,177","97,776","79,136","63,178","51,868","39,362","30,059","52,877","1,252,380"
2015,2015178,France,"90,947","159,631","203,320","266,165","363,949","500,049","618,123","679,487","679,088","665,236","680,418","682,243","643,745","547,365","405,625","732,991","7,918,382"
