,Country,WEO,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent
149,Bulgaria,918.0,BGR,4171.0,4917.0,4400.0,3608.0,3825.0,4253.0,5635.0,4828.0,3981.0,2960.0,3133.0,2570.0,2661.0,2440.0,2844.0,2981.0,2688.0,2670.0,2184.0,Europe
150,Burkina Faso,748.0,BFA,17.0,48.0,68.0,64.0,60.0,103.0,128.0,221.0,238.0,238.0,416.0,377.0,433.0,558.0,585.0,583.0,575.0,642.0,541.0,Africa
151,Myanmar,518.0,MMR,1200.0,1201.0,1373.0,1356.0,1193.0,1379.0,2095.0,4562.0,3130.0,3403.0,13621.0,12925.0,16518.0,17383.0,12565.0,11144.0,12808.0,13065.0,12897.0,Asia
152,Burundi,618.0,BDI,16.0,28.0,79.0,120.0,74.0,100.0,186.0,320.0,257.0,255.0,1505.0,841.0,593.0,535.0,260.0,273.0,351.0,415.0,1094.0,Africa
153,Cabo Verde,624.0,CPV,902.0,1079.0,868.0,871.0,745.0,1015.0,1225.0,1780.0,2048.0,1916.0,2238.0,1668.0,1808.0,1684.0,1673.0,1154.0,1253.0,2242.0,2618.0,Africa
154,Cambodia,522.0,KHM,1394.0,2138.0,2462.0,2800.0,2263.0,3553.0,4022.0,5773.0,4246.0,3713.0,3771.0,2986.0,2745.0,2473.0,2624.0,2536.0,1868.0,3173.0,4056.0,Asia
155,Cameroon,622.0,CMR,824.0,860.0,791.0,984.0,927.0,1309.0,1458.0,2919.0,3392.0,3771.0,3463.0,4161.0,4754.0,3815.0,3908.0,3943.0,4374.0,4899.0,4668.0,Africa
156,Canada,156.0,CAN,8782.0,16057.0,21752.0,19352.0,11350.0,15569.0,21878.0,18207.0,15495.0,15109.0,16140.0,13328.0,12800.0,12932.0,13181.0,11586.0,12673.0,12793.0,11484.0,Northern America
188,Central African Republic,626.0,CAF,3.0,4.0,11.0,13.0,6.0,17.0,24.0,51.0,52.0,88.0,107.0,101.0,134.0,116.0,213.0,155.0,234.0,202.0,178.0,Africa
189,Chad,628.0,TCD,24.0,23.0,44.0,47.0,8.0,23.0,31.0,73.0,74.0,96.0,102.0,120.0,171.0,155.0,111.0,119.0,175.0,136.0,205.0,Africa
190,Chile,228.0,CHL,1085.0,1700.0,1921.0,1839.0,1310.0,1810.0,2404.0,2774.0,2274.0,2017.0,2250.0,1950.0,1853.0,1673.0,1736.0,1581.0,1596.0,1698.0,1625.0,Latin America and the Caribbean
191,China,924.0,CHN,32159.0,45585.0,56267.0,61082.0,40568.0,55494.0,69933.0,87307.0,76655.0,80271.0,64238.0,70863.0,87016.0,81784.0,71798.0,76089.0,74558.0,81772.0,71565.0,Asia
192,Colombia,233.0,COL,9928.0,14427.0,16627.0,18758.0,14720.0,18846.0,25566.0,43144.0,33187.0,30213.0,27849.0,22406.0,22635.0,20931.0,21131.0,18175.0,17316.0,18610.0,17956.0,Latin America and the Caribbean
193,Comoros,632.0,COM,,,,,,,6.0,7.0,7.0,,3.0,4.0,8.0,10.0,,9.0,5.0,4.0,4.0,Africa
194,Costa Rica,238.0,CRI,883.0,1310.0,1733.0,1591.0,1246.0,1755.0,2278.0,3109.0,2540.0,2090.0,2384.0,2164.0,2135.0,2020.0,2114.0,1966.0,2029.0,2224.0,2184.0,Latin America and the Caribbean
226,Croatia,960.0,HRV,580.0,1058.0,2853.0,3798.0,1153.0,1511.0,1780.0,945.0,482.0,455.0,496.0,357.0,349.0,336.0,353.0,297.0,348.0,388.0,375.0,Europe
289,Cyprus,423.0,CYP,106.0,160.0,216.0,158.0,123.0,143.0,196.0,180.0,137.0,141.0,142.0,122.0,101.0,107.0,126.0,129.0,113.0,131.0,117.0,Asia
290,Czech Republic,935.0,CZE,463.0,909.0,1170.0,1164.0,810.0,1130.0,1260.0,1786.0,1214.0,1089.0,1011.0,940.0,769.0,836.0,750.0,680.0,695.0,712.0,634.0,Europe
291,Democratic Republic of the Congo,636.0,COD,87.0,123.0,145.0,178.0,110.0,155.0,260.0,738.0,1129.0,1261.0,2122.0,1764.0,2424.0,3731.0,2792.0,4347.0,5345.0,6791.0,8709.0,Africa
292,Denmark,128.0,DNK,367.0,537.0,706.0,609.0,405.0,566.0,718.0,699.0,517.0,498.0,603.0,518.0,459.0,459.0,506.0,514.0,609.0,521.0,461.0,Europe
293,Djibouti,611.0,DJI,6.0,14.0,22.0,30.0,16.0,37.0,50.0,34.0,23.0,39.0,54.0,37.0,56.0,106.0,90.0,190.0,370.0,281.0,222.0,Africa
294,Dominica,321.0,DMA,40.0,95.0,93.0,148.0,204.0,132.0,198.0,471.0,428.0,454.0,484.0,366.0,287.0,125.0,244.0,345.0,229.0,298.0,510.0,Latin America and the Caribbean
295,Dominican Republic,243.0,DOM,17811.0,17465.0,21195.0,22515.0,26159.0,30506.0,27503.0,38068.0,28024.0,31879.0,49414.0,53870.0,46109.0,41566.0,41311.0,44577.0,50610.0,61161.0,58520.0,Latin America and the Caribbean
296,Ecuador,248.0,ECU,8882.0,7651.0,9665.0,10561.0,7066.0,8626.0,11608.0,17489.0,12248.0,11663.0,12128.0,11492.0,11103.0,9342.0,10591.0,10960.0,10187.0,10757.0,10594.0,Latin America and the Caribbean
297,Egypt,469.0,EGY,4421.0,4450.0,5159.0,4852.0,3348.0,5522.0,7905.0,10500.0,9267.0,8712.0,8844.0,8978.0,7778.0,8988.0,10294.0,11477.0,12085.0,12045.0,9834.0,Africa
298,El Salvador,253.0,SLV,14581.0,22543.0,31089.0,31060.0,28231.0,29807.0,21359.0,31782.0,21127.0,19659.0,19909.0,18806.0,18667.0,16256.0,18260.0,19273.0,19487.0,23449.0,25109.0,Latin America and the Caribbean
299,Equatorial Guinea,642.0,GNQ,,5.0,3.0,8.0,,13.0,10.0,13.0,4.0,16.0,32.0,12.0,13.0,20.0,18.0,15.0,25.0,18.0,20.0,Africa
300,Eritrea,643.0,ERI,325.0,382.0,540.0,560.0,556.0,675.0,796.0,1593.0,1081.0,1270.0,1928.0,1656.0,2102.0,2643.0,2138.0,2002.0,2220.0,2267.0,2449.0,Africa
301,Estonia,939.0,EST,142.0,239.0,348.0,343.0,235.0,322.0,438.0,423.0,368.0,287.0,282.0,260.0,191.0,227.0,211.0,220.0,189.0,211.0,176.0,Europe
302,Ethiopia,644.0,ETH,4262.0,4053.0,5092.0,7565.0,6635.0,8286.0,10571.0,16152.0,12786.0,12917.0,15462.0,14266.0,13793.0,14544.0,13097.0,12300.0,11394.0,13232.0,14637.0,Africa
303,Fiji,819.0,FJI,1599.0,1483.0,1452.0,1208.0,1095.0,1593.0,1422.0,2115.0,1637.0,1176.0,1194.0,1201.0,1041.0,853.0,895.0,802.0,875.0,866.0,805.0,Oceania
304,Finland,172.0,FIN,307.0,377.0,497.0,426.0,241.0,388.0,574.0,542.0,426.0,302.0,423.0,397.0,363.0,348.0,331.0,350.0,407.0,489.0,439.0,Europe
