Country,WEO,ISO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,913,BLR,,,,,,,,,,,,,1210.104,1076.142,1481.461,1000.204,1375.754,1341.854,1452.41,1165.601,1277.052,1247.469,1480.153,1811.855,2370.274,3115.513,3838.293,4726.479,6366.189,5345.325,6023.149,6472.739,6938.067,7977.147,8316.012,5941.24,5022.472,5757.286
Belgium,124,BEL,12596.432,10421.61,9177.46,8672.346,8288.99,8614.531,11937.381,14819.379,16094.351,16184.35,20227.662,20673.831,22945.228,21839.937,23750.957,28610.841,27747.949,25086.126,25602.963,25508.413,23298.473,23189.549,25186.003,30857.164,35711.777,37143.311,39020.109,44638.2,48850.72,45176.141,44691.381,47951.073,44977.07,46784.987,47550.179,40585.196,41545.958,43672.411
Belize,339,BLZ,1148.111,1193.646,1170.803,1200.667,1304.267,1258.664,1332.602,1518.633,1759.218,1976.865,2179.95,2291.929,2603.278,2729.91,2751.794,2863.58,2888.603,2845.15,2888.405,3013.08,3330.955,3388.367,3516.41,3618.466,3743.261,3818.446,4040.716,4143.093,4249.069,4135.734,4316.256,4475.07,4588.804,4599.123,4742.917,4811.578,4806.073,4828.354
Benin,638,BEN,463.279,302.87,290.907,249.415,257.923,270.981,338.366,391.603,398.296,359.376,424.693,419.748,450.629,423.975,285.164,370.875,390.36,363.909,380.166,404.155,375.215,378.979,419.994,520.205,583.996,602.79,626.338,706.995,823.982,795.512,759.065,826.7,838.435,916.135,946.498,786.172,791.495,832.834
Bhutan,514,BTN,307.957,323.738,331.996,350.04,353.646,356.027,389.913,456.239,506.507,493.323,524.929,455.209,451.704,480.266,494.125,581.144,606.11,668.031,715.848,730.512,773.491,783.204,842.667,932.757,1056.226,1171.862,1288.486,1501.905,1865.177,1721.428,1998.765,2382.108,2445.204,2451.849,2387.788,2604.186,2675.388,2990.924
Bolivia,218,BOL,695.535,615.66,668.55,619.896,631.152,668.921,640.939,683.624,712.146,715.525,723.42,777.891,804.735,795.05,804.712,885.679,955.574,1005.873,1057.72,1010.58,1005.409,959.844,914.958,918.468,979.59,1049.064,1199.579,1344.698,1695.451,1711.424,1896.236,2255.504,2605.186,2886.41,3110.566,3068.363,3128.687,3437.724
Bosnia and Herzegovina,963,BIH,,,,,,,,,,,,,,,,,947.953,1220.09,1408.122,1533.908,1474.45,1533.616,1777.342,2242.967,2686.001,2891.677,3296.751,4060.061,4971.824,4697.839,4611.347,5050.025,4716.643,5036.032,5194.014,4584.264,4808.299,5180.778
Botswana,616,BWA,1199.223,1039.432,1057.51,1126.868,1079.237,968.951,1267.145,1915.113,2398.684,2584.231,2750.806,2673.588,2684.209,2629.778,2755.722,2984.191,3006.151,3025.699,2841.934,3173.687,3301.212,3090.261,3017.716,4119.412,4840.806,5338.237,5352.865,5676.255,5641.182,5183.686,6374.994,7503.961,7710.797,7007.254,7497.686,6538.616,6958.336,7584.05
Brazil,223,BRA,1229.447,1382.058,1445.715,1134.529,1105.46,1718.904,1954.375,2086.704,2288.611,3086.832,3105.013,2676.886,2522.84,2786.175,3493.998,4950.659,5200.105,5323.82,5128.338,3502.751,3771.94,3177.826,2853.565,3086.087,3655.333,4814.67,5914.458,7385.328,8873.189,8641.655,11327.459,13295.722,12426.686,12357.57,12176.246,8846.376,8752.328,9928.234
Brunei Darussalam,516,BRN,,,,,,19979.818,11946.922,13281.59,12241.233,13457.077,15422.566,15773.381,17386.219,16664.546,16140.896,18292.06,19282.327,19120.874,14526.109,16112.075,20511.076,18680.432,18845.723,20821.905,24294.89,29514.112,34941.384,36692.724,42678.823,31287.184,35437.219,47092.296,47772.207,44860.428,41947.16,31355.736,27318.051,28278.434
Bulgaria,918,BGR,2835.477,3049.296,3171.17,3250.675,3446.956,2949.183,2611.002,3030.634,4965.903,5079.805,2253.896,222.706,913.311,501.483,892.192,1511.491,1153.869,1228.132,1631.94,1673.66,1613.935,1783.719,2074.575,2689.768,3344.622,3839.448,4444.514,5812.68,7152.785,6859.679,6743.737,7836.578,7399.392,7667.592,7888.558,7017.414,7496.084,8274.48
Burkina Faso,748,BFA,310.905,264.221,240.176,214.033,186.473,200.896,256.767,291.129,313.06,304.852,351.985,346.407,361.049,334.946,196.026,235.832,249.36,229.493,255.718,267.017,226.844,237.449,261.756,332.878,371.688,407.819,419.807,475.793,572.441,554.18,574.328,667.452,674.196,700.246,704.984,575.621,584.213,643.416
Burundi,618,BDI,232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,267.696,296.186,294.496,298.006,312.463
Cabo Verde,624,CPV,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1529.878,1354.544,1387.167,1502.613,1937.154,2186.533,2297.77,2572.566,3112.286,3638.904,3444.555,3312.826,3670.434,3408.481,3558.798,3535.387,2996.793,3083.574,3249.523
Cambodia,522,KHM,,,,,,,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.629,470.683,536.151,627.78,741.855,734.655,781.912,877.635,945.702,1009.343,1090.709,1163.414,1270.484,1387.943
Cameroon,622,CMR,928.577,1022.233,953.543,935.494,962.85,979.483,1242.483,1399.288,1380.513,1194.707,1159.858,1254.628,1115.886,1130.159,746.71,688.963,746.867,734.603,713.686,707.439,630.698,649.524,705.615,862.274,1004.871,1007.39,1056.26,1187.884,1368.943,1309.147,1282.461,1402.671,1357.119,1471.227,1552.471,1338.603,1377.865,1441.379
